Location name,Latitude,Longitude,Coordinates type,Material identifier,Short references,Original material identifier,Material type,Taxon rank,Taxon name,Reported biological identification,Fish category,Plant metabolism,Context,Relative dating - lower limit,Relative dating - upper limit,Relative dating timescale,Sample identifier,Sample type,Bone,Combustion stage,Dataset DOI,Result type,δ13C (‰vpdb),δ13C (‰vpdb) uncertainty,δ13C uncertainty type,δ15N (‰air),δ15N (‰air) uncertainty,δ15N uncertainty type,δ34S uncertainty type,Country
Archontiko,40.78631,22.46671,exact,2018.001.1413,Nitsch et al. (2017),ARC062,animal,genus,bos,cattle,,,archaeological,-2130,-2087,BCE/CE,2018.001.1515,bone,tibia,,10.48530/isoarch.2018.001,exact,-20.8,,,5.5,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1414,Nitsch et al. (2017),ARC063,animal,genus,bos,cattle,,,archaeological,-2130,-2087,BCE/CE,2018.001.1516,bone,tibia,,10.48530/isoarch.2018.001,exact,-20.9,,,6,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1415,Nitsch et al. (2017),ARC064,animal,genus,bos,cattle,,,archaeological,-2130,-2087,BCE/CE,2018.001.1517,bone,metatarsal,,10.48530/isoarch.2018.001,exact,-15.2,,,7.2,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1416,Nitsch et al. (2017),ARC065,animal,genus,bos,cattle,,,archaeological,-2130,-2087,BCE/CE,2018.001.1518,bone,metatarsal,,10.48530/isoarch.2018.001,exact,-17.4,,,5.7,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1417,Nitsch et al. (2017),ARC066,animal,genus,bos,cattle,,,archaeological,-2130,-2087,BCE/CE,2018.001.1519,bone,metatarsal,,10.48530/isoarch.2018.001,exact,-15.6,,,7.2,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1418,Nitsch et al. (2017),ARC067,animal,genus,bos,cattle,,,archaeological,-2130,-2087,BCE/CE,2018.001.1520,bone,metatarsal,,10.48530/isoarch.2018.001,exact,-16.9,,,4.2,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1419,Nitsch et al. (2017),ARC068,animal,genus,bos,cattle,,,archaeological,-2130,-2087,BCE/CE,2018.001.1521,bone,metatarsal,,10.48530/isoarch.2018.001,exact,-17.8,,,6.2,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1420,Nitsch et al. (2017),ARC069,animal,genus,bos,cattle,,,archaeological,-2130,-2087,BCE/CE,2018.001.1522,bone,metatarsal,,10.48530/isoarch.2018.001,exact,-16,,,5.4,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1421,Nitsch et al. (2017),ARC070,animal,genus,bos,cattle,,,archaeological,-2130,-2087,BCE/CE,2018.001.1523,bone,metatarsal,,10.48530/isoarch.2018.001,exact,-20.7,,,6.2,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1422,Nitsch et al. (2017),ARC071,animal,genus,bos,cattle,,,archaeological,-2130,-2087,BCE/CE,2018.001.1524,bone,metatarsal,,10.48530/isoarch.2018.001,exact,-23.1,,,4,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1423,Nitsch et al. (2017),ARC072,animal,genus,bos,cattle,,,archaeological,-2130,-2087,BCE/CE,2018.001.1525,bone,metatarsal,,10.48530/isoarch.2018.001,exact,-17.9,,,7.9,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1424,Nitsch et al. (2017),ARC073,animal,genus,bos,cattle,,,archaeological,-2130,-2087,BCE/CE,2018.001.1526,bone,tibia,,10.48530/isoarch.2018.001,exact,-22.3,,,3.7,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1425,Nitsch et al. (2017),ARC074,animal,genus,bos,cattle,,,archaeological,-2130,-2087,BCE/CE,2018.001.1527,bone,tibia,,10.48530/isoarch.2018.001,exact,-14.4,,,7.2,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1426,Nitsch et al. (2017),ARC075,animal,genus,bos,cattle,,,archaeological,-2130,-2087,BCE/CE,2018.001.1528,bone,tibia,,10.48530/isoarch.2018.001,exact,-11.8,,,6.8,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1427,Nitsch et al. (2017),ARC076,animal,species,sus scrofa,wild boar,,,archaeological,-2130,-2087,BCE/CE,2018.001.1529,bone,humerus,,10.48530/isoarch.2018.001,exact,-20.1,,,5.6,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1428,Nitsch et al. (2017),ARC077,animal,species,dama dama,fallow deer,,,archaeological,-2086,-1877,BCE/CE,2018.001.1530,bone,tibia,,10.48530/isoarch.2018.001,exact,-20.5,,,5.5,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1429,Nitsch et al. (2017),ARC078,animal,species,dama dama,fallow deer,,,archaeological,-2086,-1877,BCE/CE,2018.001.1531,bone,tibia,,10.48530/isoarch.2018.001,exact,-21.2,,,6,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1430,Nitsch et al. (2017),ARC079,animal,species,dama dama,fallow deer,,,archaeological,-2086,-1877,BCE/CE,2018.001.1532,bone,tibia,,10.48530/isoarch.2018.001,exact,-21.5,,,5.1,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1431,Nitsch et al. (2017),ARC080,animal,species,dama dama,fallow deer,,,archaeological,-2086,-1877,BCE/CE,2018.001.1533,bone,tibia,,10.48530/isoarch.2018.001,exact,-21.3,,,4.6,,,,Greece
